Country,City,Continent,Month,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,CO,O3,Dominant_Pollutant
India,New Delhi,Asia,2024-01,238,Very Unhealthy,100.7,161.1,32.3,12.6,0.79,70.6,PM10
India,New Delhi,Asia,2024-02,221,Very Unhealthy,93.0,121.9,128.9,46.6,1.52,22.7,PM2.5
India,New Delhi,Asia,2024-03,185,Unhealthy,72.7,105.1,71.5,9.1,1.61,35.6,PM2.5
India,New Delhi,Asia,2024-04,139,Unhealthy for Sensitive Groups,59.6,83.4,46.3,21.5,0.43,52.5,PM2.5
India,New Delhi,Asia,2024-05,167,Unhealthy,69.9,106.3,19.6,22.1,0.47,73.7,PM2.5
India,New Delhi,Asia,2024-06,156,Unhealthy,64.9,94.5,52.4,22.5,0.98,77.9,NO2
India,New Delhi,Asia,2024-07,176,Unhealthy,63.2,88.4,13.2,16.3,1.93,29.0,NO2
India,New Delhi,Asia,2024-08,165,Unhealthy,63.6,91.6,57.5,8.2,3.37,15.2,O3
India,New Delhi,Asia,2024-09,165,Unhealthy,57.8,98.7,72.4,30.8,3.26,15.2,PM2.5
India,New Delhi,Asia,2024-10,193,Unhealthy,69.8,120.9,75.8,18.1,0.67,31.8,PM2.5
India,New Delhi,Asia,2024-11,198,Unhealthy,86.9,133.5,22.9,36.3,3.86,49.3,NO2
India,New Delhi,Asia,2024-12,262,Very Unhealthy,104.6,163.3,74.7,5.9,1.17,12.2,PM10
Pakistan,Lahore,Asia,2024-01,246,Very Unhealthy,108.4,154.4,67.8,47.5,1.79,15.4,PM2.5
Pakistan,Lahore,Asia,2024-02,186,Unhealthy,68.1,120.2,92.0,30.6,4.1,66.3,PM2.5
Pakistan,Lahore,Asia,2024-03,197,Unhealthy,84.9,148.4,44.3,8.3,1.43,39.9,NO2
Pakistan,Lahore,Asia,2024-04,218,Very Unhealthy,95.1,124.0,72.1,24.9,1.55,18.4,PM2.5
Pakistan,Lahore,Asia,2024-05,191,Unhealthy,76.8,126.8,47.7,46.5,4.61,27.6,PM2.5
Pakistan,Lahore,Asia,2024-06,184,Unhealthy,69.9,100.8,12.9,29.2,2.5,13.6,PM2.5
Pakistan,Lahore,Asia,2024-07,171,Unhealthy,62.3,96.2,101.3,12.5,2.99,63.3,PM2.5
Pakistan,Lahore,Asia,2024-08,182,Unhealthy,77.0,114.3,72.4,29.9,2.61,16.3,NO2
Pakistan,Lahore,Asia,2024-09,172,Unhealthy,60.9,97.2,72.7,3.5,2.37,25.9,PM10
Pakistan,Lahore,Asia,2024-10,182,Unhealthy,66.9,110.1,47.8,42.8,0.94,33.9,PM2.5
Pakistan,Lahore,Asia,2024-11,214,Very Unhealthy,92.4,145.8,73.0,15.6,0.89,72.8,O3
Pakistan,Lahore,Asia,2024-12,208,Very Unhealthy,86.0,126.4,50.3,38.7,4.71,72.1,NO2
Bangladesh,Dhaka,Asia,2024-01,195,Unhealthy,71.4,124.9,74.8,3.7,0.85,56.4,PM2.5
Bangladesh,Dhaka,Asia,2024-02,218,Very Unhealthy,79.8,125.6,93.9,36.8,1.56,59.9,PM2.5
Bangladesh,Dhaka,Asia,2024-03,194,Unhealthy,80.5,138.8,79.9,29.0,0.81,35.7,PM2.5
Bangladesh,Dhaka,Asia,2024-04,153,Unhealthy,57.3,102.4,40.7,34.4,2.53,65.6,PM2.5
Bangladesh,Dhaka,Asia,2024-05,165,Unhealthy,61.0,101.3,33.7,3.7,2.78,22.4,O3
Bangladesh,Dhaka,Asia,2024-06,203,Very Unhealthy,90.4,158.9,51.5,4.1,4.74,40.0,O3
Bangladesh,Dhaka,Asia,2024-07,137,Unhealthy for Sensitive Groups,59.6,86.9,19.6,20.1,3.22,58.7,PM10
Bangladesh,Dhaka,Asia,2024-08,125,Unhealthy for Sensitive Groups,45.0,72.3,74.3,6.2,1.74,71.4,PM10
Bangladesh,Dhaka,Asia,2024-09,192,Unhealthy,74.1,107.2,95.1,39.5,4.21,73.9,PM2.5
Bangladesh,Dhaka,Asia,2024-10,191,Unhealthy,76.4,129.8,77.8,34.5,3.88,72.3,PM2.5
Bangladesh,Dhaka,Asia,2024-11,154,Unhealthy,62.8,82.8,47.1,22.1,1.32,51.4,PM2.5
Bangladesh,Dhaka,Asia,2024-12,206,Very Unhealthy,72.9,124.8,51.1,9.5,2.89,63.9,PM2.5
China,Beijing,Asia,2024-01,137,Unhealthy for Sensitive Groups,48.7,76.2,47.6,22.7,2.56,78.3,PM2.5
China,Beijing,Asia,2024-02,154,Unhealthy,58.9,100.0,30.6,18.3,0.59,11.8,O3
China,Beijing,Asia,2024-03,127,Unhealthy for Sensitive Groups,49.6,68.8,17.3,9.5,1.86,60.0,PM10
China,Beijing,Asia,2024-04,132,Unhealthy for Sensitive Groups,49.9,88.7,60.2,19.3,2.12,39.4,PM2.5
China,Beijing,Asia,2024-05,138,Unhealthy for Sensitive Groups,48.5,65.9,10.4,3.6,2.99,59.3,PM2.5
China,Beijing,Asia,2024-06,99,Moderate,35.6,55.0,30.7,5.7,1.19,37.9,PM10
China,Beijing,Asia,2024-07,102,Unhealthy for Sensitive Groups,39.5,63.7,33.3,22.1,1.75,21.4,PM2.5
China,Beijing,Asia,2024-08,110,Unhealthy for Sensitive Groups,45.6,59.9,40.9,26.0,1.68,37.2,PM10
China,Beijing,Asia,2024-09,151,Unhealthy,67.1,100.2,87.4,34.4,0.98,14.9,PM2.5
China,Beijing,Asia,2024-10,92,Moderate,32.4,43.6,39.2,3.1,0.86,69.1,PM2.5
China,Beijing,Asia,2024-11,112,Unhealthy for Sensitive Groups,40.5,66.8,44.3,24.8,2.12,66.2,PM2.5
China,Beijing,Asia,2024-12,165,Unhealthy,60.7,101.7,81.5,40.9,1.9,36.0,NO2
Mongolia,Ulaanbaatar,Asia,2024-01,213,Very Unhealthy,92.8,140.5,98.6,41.1,0.93,73.2,PM2.5
Mongolia,Ulaanbaatar,Asia,2024-02,195,Unhealthy,84.4,123.2,105.8,21.0,0.44,73.4,PM2.5
Mongolia,Ulaanbaatar,Asia,2024-03,166,Unhealthy,73.9,117.3,66.0,20.1,1.45,33.0,PM10
Mongolia,Ulaanbaatar,Asia,2024-04,158,Unhealthy,67.2,114.0,76.5,6.0,2.11,14.0,PM2.5
Mongolia,Ulaanbaatar,Asia,2024-05,179,Unhealthy,68.9,93.6,23.0,34.8,2.9,17.1,PM2.5
Mongolia,Ulaanbaatar,Asia,2024-06,141,Unhealthy for Sensitive Groups,59.2,79.1,70.8,25.6,0.55,15.9,O3
